title,preview
NASA's InSight Flexes Its Arm While Its 'Mole' Hits Pause,"Now that the lander's robotic arm has helped the mole get underground, it will resume science activities that have been on hold."
NASA Adds Return Sample Scientists to Mars 2020 Leadership Team,The leadership council for Mars 2020 science added two new members who represent the interests of scientists destined to handle and study the first samples from Red Planet.
"What's Mars Solar Conjunction, and Why Does It Matter?","NASA spacecraft at Mars are going to be on their own for a few weeks when the Sun comes between Mars and Earth, interrupting communications."
NASA to Reveal Name of Its Next Mars Rover,"After a months-long contest among students to name NASA's newest Mars rover, the agency will reveal the winning name — and the winning student — this Thursday. "
10.9 Million Names Now Aboard NASA's Perseverance Mars Rover,"As part of NASA's 'Send Your Name to Mars' campaign, they've been stenciled onto three microchips along with essays from NASA's 'Name the Rover' contest. Next stop: Mars."
"NASA Administrator Statement on Moon to Mars Initiative, FY 2021 Budget","Jim Bridenstine addresses NASA's ambitious plans for the coming years, including Mars Sample Return."
Hear Audio From NASA's Perseverance As It Travels Through Deep Space,"The first to be rigged with microphones, the agency's latest Mars rover picked up the subtle sounds of its own inner workings during interplanetary flight."
NASA's Treasure Map for Water Ice on Mars,"A new study identifies frozen water just below the Martian surface, where astronauts could easily dig it up."
"All About the Laser (and Microphone) Atop Mars 2020, NASA's Next Rover",SuperCam is a rock-vaporizing instrument that will help scientists hunt for Mars fossils.
NASA's Perseverance Mars Rover Gets Its Wheels and Air Brakes,"After the rover was shipped from JPL to Kennedy Space Center, the team is getting closer to finalizing the spacecraft for launch later this summer."
NASA Mars Mission Connects With Bosnian and Herzegovinian Town,"A letter from NASA was presented to the mayor of Jezero, Bosnia-Herzegovina, honoring the connection between the town and Jezero Crater, the Mars 2020 rover landing site."
NASA's Perseverance Rover Will Carry First Spacesuit Materials to Mars,"In a Q&A, spacesuit designer Amy Ross explains how five samples, including a piece of helmet visor, will be tested aboard the rover, which is targeting a July 30 launch. "
Mars Scientists Investigate Ancient Life in Australia,Teams with NASA's Mars 2020 and ESA's ExoMars practiced hunting for fossilized microbial life in the Australian Outback in preparation for their Red Planet missions. 
NASA Perseverance Mars Rover Scientists Train in the Nevada Desert,"Team members searched for signs of ancient microscopic life there, just as NASA's latest rover will on the Red Planet next year."
Common Questions about InSight's 'Mole',"The following Q&As with members of the team answer some of the most common questions about the burrowing device, part of a science instrument called the Heat Flow and Physical Properties Package (HP3)."
